,Variabile,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,Price,"(34.778000000000006, 109.224]",4172,1149,0.09855047602710353,3023,0.10058226584594909,-0.020407094390731295,4.1462926615308325e-05
1,Price,"(109.224, 133.254]",4171,1241,0.10644137576121451,2930,0.09748793877890534,0.0878657057334653,0.0007867000591907034
2,Price,"(133.254, 155.567]",4172,1393,0.1194785144523544,2779,0.09246381633671602,0.25631916657727327,0.006924384906337064
3,Price,"(155.567, 178.555]",4174,1267,0.10867141264259371,2907,0.09672267509565796,0.1164809023022344,0.0013917997308396629
4,Price,"(178.555, 203.819]",4170,1244,0.10669868770906596,2926,0.09735484944268841,0.09164631425902625,0.0008563283381459522
5,Price,"(203.819, 233.792]",4174,1245,0.10678445835834978,2929,0.09745466644485111,0.09142508461104537,0.0008529770150950628
6,Price,"(233.792, 272.538]",4177,1162,0.09966549446779312,3015,0.10031608717351523,-0.006506549209458701,4.233113455095799e-06
7,Price,"(272.538, 330.7]",4163,1080,0.09263230122652029,3083,0.10257860588920313,-0.10199148522791379,0.0010144383850763472
8,Price,"(330.7, 452.046]",4172,975,0.0836263830517197,3197,0.10637165197138579,-0.24058005552202344,0.005472058059556623
9,Price,"(452.046, 18545.45]",4169,903,0.07745089630328501,3266,0.10866744302112794,-0.3386480975734538,0.01057142415881035
0,Day,Weekday,20886,5914,0.5072476198644824,14972,0.49815338545999,0.01809125392807409,0.0001645261038931
1,Day,Weekend,20828,5745,0.49275238013551764,15083,0.50184661454001,-0.018287747945425203,0.0001663130665459704
0,Shared Room,False,41398,11624,0.9969980272750665,29774,0.9906504741307602,0.006387019353087368,4.0541944777434526e-05
1,Shared Room,True,316,35,0.0030019727249335276,281,0.009349525869239728,-1.1360559853043615,0.007211175741626578
0,Person Capacity,2,18126,4684,0.4017497212453898,13442,0.44724671435701213,-0.10728106527233217,0.004880965887702799
1,Person Capacity,3,5292,1513,0.1297709923664122,3779,0.12573615039094993,0.031585632978837985,0.00012744303776456112
2,Person Capacity,4,12162,3630,0.31134745690024873,8532,0.2838795541507237,0.09235947020762625,0.002536920945660733
3,Person Capacity,5,2542,785,0.06732995968779483,1757,0.05845949093328897,0.14127125213528213,0.0012531422279759394
4,Person Capacity,6,3592,1047,0.0898018698001544,2545,0.08467809016802529,0.058748904425884874,0.0003010164399072485
0,Multiple Rooms,0,29397,7473,0.6409640620979501,21924,0.7294626518050241,-0.12933477969574586,0.011445945603148622
1,Multiple Rooms,1,12317,4186,0.3590359379020499,8131,0.2705373481949759,0.2830123293380784,0.02504619201613391
0,Business,0,27482,8497,0.7287932069645767,18985,0.6316752620196306,0.1430145888776097,0.013889282968939798
1,Business,1,14232,3162,0.2712067930354233,11070,0.3683247379803693,-0.30608338539329416,0.02972618937118864
0,Cleanliness Rating,2,88,1,8.577064928381508e-05,87,0.00289469306271835,-3.518957496114612,0.009884478582759803
1,Cleanliness Rating,3,6,0,4.288532464190754e-05,6,0.00019963400432540342,-1.537956027248029,0.00024107257668240316
2,Cleanliness Rating,4,83,4,0.0003430825971352603,79,0.0026285143902844785,-2.03620286880716,0.0046536027736735295
3,Cleanliness Rating,5,54,0,4.288532464190754e-05,54,0.0017967060389286308,-3.735180604584248,0.006550837115921861
4,Cleanliness Rating,6,347,3,0.00025731194785144526,344,0.011445682914656464,-3.7950787461653173,0.04246074886033483
5,Cleanliness Rating,7,619,9,0.0007719358435543357,610,0.02029612377308268,-3.269283757291166,0.06383011047230726
6,Cleanliness Rating,8,3031,80,0.006861651942705206,2951,0.09818665779404426,-2.6609221177290867,0.24300872797156636
7,Cleanliness Rating,9,12444,1618,0.1387769105412128,10826,0.3602062884711362,-0.9538092071985151,0.21120137941380066
8,Cleanliness Rating,10,25042,9944,0.8529033364782571,15098,0.5023456995508235,0.5293576920309478,0.1855703816077292
0,Guest Satisfaction,"(19.999, 84.0]",4371,92,0.007890899734110987,4279,0.14237231741806688,-2.8927354168278057,0.38901915983959234
1,Guest Satisfaction,"(84.0, 89.0]",4331,139,0.011922120250450296,4192,0.13947762435534852,-2.459508670330215,0.31372386829433846
2,Guest Satisfaction,"(89.0, 92.0]",5333,391,0.0335363238699717,4942,0.16443187489602396,-1.5898672040232185,0.20810654372886825
3,Guest Satisfaction,"(92.0, 93.0]",2785,371,0.031820910884295395,2414,0.08031941440692064,-0.9258877165100707,0.044904168680719114
4,Guest Satisfaction,"(93.0, 95.0]",5105,1514,0.12985676301569604,3591,0.11948095158875395,0.08327506231128234,0.000864046343108718
5,Guest Satisfaction,"(95.0, 97.0]",6208,3356,0.2878462989964834,2852,0.0948926967226751,1.1096799085928812,0.21411673573386678
6,Guest Satisfaction,"(97.0, 98.0]",3305,2243,0.1923835663435972,1062,0.03533521876559641,1.6946109552582953,0.2661358503108927
7,Guest Satisfaction,"(98.0, 99.0]",1976,1554,0.13328758898704862,422,0.014040924970886708,2.250532839431552,0.2683685333610331
8,Guest Satisfaction,"(99.0, 100.0]",8300,1999,0.17145552791834634,6301,0.20964897687572784,-0.2011106729016845,0.007681110220255133
0,Bedrooms,0,3745,837,0.07179003345055322,2908,0.09675594742971219,-0.2984461456239633,0.007450980799059419
1,Bedrooms,1,28800,8102,0.6949138004974698,20698,0.6886707702545334,0.009024490074488523,5.6340164462110996e-05
2,Bedrooms,2,7830,2393,0.20524916373616947,5437,0.18090168025286973,0.12627099330242375,0.003074380923850614
3,Bedrooms,3,1253,319,0.02736083712153701,934,0.031076360006654466,-0.1273347129040272,0.00047311503986477427
4,Bedrooms,4,65,8,0.0006861651942705207,57,0.0018965230410913326,-1.0166591036147432,0.0012305213236019172
5,Bedrooms,5,7,0,4.288532464190754e-05,7,0.00023290633837963733,-1.692106707075288,0.000321535831830858
6,Bedrooms,6,2,0,4.288532464190754e-05,2,6.65446681084678e-05,-0.43934373857991993,1.039458441094499e-05
7,Bedrooms,9,10,0,4.288532464190754e-05,10,0.00033272334054233906,-2.0487816510140195,0.0005938148087431137
8,Bedrooms,10,2,0,4.288532464190754e-05,2,6.65446681084678e-05,-0.43934373857991993,1.039458441094499e-05
0,City Center (km),"(0.013999999999999999, 0.733]",4172,1225,0.10506904537267348,2947,0.09805356845782731,0.06910376278110375,0.0004847958525198389
1,City Center (km),"(0.733, 1.107]",4171,1199,0.10283900849129428,2972,0.09888537680918316,0.03920337172983546,0.00015499569251665676
2,City Center (km),"(1.107, 1.457]",4171,1283,0.11004374303113475,2888,0.09609050074862752,0.1355874871428906,0.0018918850585810864
3,City Center (km),"(1.457, 1.85]",4172,1179,0.10112359550561797,2993,0.09958409582432208,0.015341015224642707,2.361748804909291e-05
4,City Center (km),"(1.85, 2.253]",4171,1199,0.10283900849129428,2972,0.09888537680918316,0.03920337172983546,0.00015499569251665676
5,City Center (km),"(2.253, 2.68]",4171,1162,0.09966549446779312,3009,0.10011645316918982,-0.004514516678217895,2.035860578642912e-06
6,City Center (km),"(2.68, 3.241]",4172,1243,0.10661291705978214,2929,0.09745466644485111,0.08981736722294853,0.0008225699586010544
7,City Center (km),"(3.241, 3.954]",4171,1000,0.08577064928381507,3171,0.10550657128597571,-0.20709637301623918,0.004087237864778861
8,City Center (km),"(3.954, 5.006]",4171,1102,0.09451925551076422,3069,0.10211279321244385,-0.07727444236690495,0.0005867863914893624
9,City Center (km),"(5.006, 25.285]",4172,1067,0.09151728278583068,3105,0.10331059723839628,-0.12121212052585495,0.001429492652823688
0,Metro Distance (km),"(0.0013, 0.148]",4172,940,0.08062441032678618,3232,0.10753618366328398,-0.2880259218369656,0.007751288323512251
1,Metro Distance (km),"(0.148, 0.208]",4171,1027,0.08808645681447809,3144,0.1046082182665114,-0.17190332108056783,0.0028401456637054305
2,Metro Distance (km),"(0.208, 0.265]",4171,1113,0.09546273265288618,3058,0.10174679753784728,-0.06375141267349171,0.0004006180137481531
3,Metro Distance (km),"(0.265, 0.324]",4172,1181,0.1012951368041856,2991,0.09951755115621361,0.017704380107385287,3.1471051985128954e-05
4,Metro Distance (km),"(0.324, 0.391]",4171,1154,0.0989793292735226,3017,0.10038263184162369,-0.014078169551045239,1.975593148514434e-05
5,Metro Distance (km),"(0.391, 0.471]",4171,1216,0.10429710952911914,2955,0.09831974713026119,0.059018755225884956,0.00035277648831460567
6,Metro Distance (km),"(0.471, 0.593]",4172,1338,0.11476112874174457,2834,0.09429379470969888,0.19643744297751908,0.004020550761821811
7,Metro Distance (km),"(0.593, 0.815]",4171,1320,0.11321725705463591,2851,0.09485942438862086,0.17691254920771593,0.003247730974873403
8,Metro Distance (km),"(0.815, 1.291]",4171,1224,0.10498327472338966,2947,0.09805356845782731,0.06828710287454776,0.0004732095646468539
9,Metro Distance (km),"(1.291, 14.274]",4172,1146,0.09829316407925208,3026,0.1006820828481118,-0.02401337453364505,5.7366001127082585e-05
